what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151457820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151471318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151478074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151502200
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397151505114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1397151519624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397151521148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397151523959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397151524687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151577076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151580984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151684612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151698866
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397151699693
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397151700534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397151743515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151754723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151761226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151767699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151773250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397151775509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397152183739
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397152187674
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397152187906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397152187958
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397152187990
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397152188236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397152215733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397152244997
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1397152245147
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1397152245176
