Timestamp  2.0, total num  25: 
 5,7,0.9275067408011053
3,17,0.9996983096329882
0,13,0.9488038877143761
8,11,0.9832280919323129
1,17,0.9314492607536485
4,11,0.9985156935885124
2,6,0.9939546030445139
6,7,0.9309352685150176
5,10,0.9872263284320165
9,11,0.9948041021322889
4,8,0.971835389765483
14,16,0.9198615277744238
12,13,0.9137271141921323
14,19,0.9917619299410227
6,10,0.9857055014850685
5,6,0.9999569514950536
1,3,0.9222308620001658
0,12,0.9952930668545932
2,10,0.9612490677186944
4,9,0.9988724370613183
2,7,0.9654016426918964
16,19,0.9625279598317349
8,9,0.9595516439733478
2,5,0.9928930840588903
8,18,0.9228127658841448

Timestamp  3.0, total num  20: 
 10,13,0.9324945301559852
1,6,0.911243620775591
8,9,0.9140947518084146
4,11,0.9167430010510641
10,19,0.991517589270085
0,1,0.9954658382099596
3,6,0.9616433060387093
13,16,0.9135390879518359
14,16,0.9932038228642112
7,15,0.9903375789389635
4,18,0.9999811743542467
5,6,0.9966819534211501
7,17,0.9502728736340664
13,14,0.954671443463363
11,18,0.9142745344963124
2,15,0.9718464614924442
3,5,0.9807793188598245
2,17,0.9149506266288203
2,7,0.9951306050102993
15,17,0.9842777068743128

Timestamp  4.0, total num  28: 
 6,8,0.9111327133770782
13,15,0.9107275162335569
3,6,0.9999985239749927
6,9,0.9800446746699538
1,5,0.9652210545278301
17,19,0.9987891188264119
16,17,0.9972726219654365
4,18,0.981858754873393
1,3,0.9361311143057557
3,8,0.9118394415946163
10,13,0.9241575941570959
0,8,0.9949503328808113
3,9,0.9803847578934557
14,17,0.9964538585434235
16,19,0.9996960378590443
2,12,0.9966617861541283
11,18,0.9027215698722145
8,9,0.9748695074956213
4,13,0.9348888225947248
14,19,0.9911078282156819
1,6,0.9367339228506887
0,9,0.9475869818651711
4,10,0.9995760074307816
5,9,0.9573188153165882
10,18,0.9869634569764271
14,16,0.9875260462194428
5,6,0.9956686312971033
3,5,0.9955074198969217

Timestamp  5.0, total num  23: 
 6,9,0.9702998106801214
1,7,0.9070155581844307
8,14,0.9650807034730478
0,19,0.9890904905011625
0,4,0.9394859777743062
8,19,0.9992953295045739
8,16,0.9888322220231335
4,10,0.9920366874476255
1,12,0.9176134599910003
0,14,0.9303797772807743
0,8,0.9939226961987876
14,16,0.9933424999247487
1,2,0.9982735238360513
3,9,0.9253318696810087
11,13,0.9360646717751002
6,17,0.9129962891330582
14,19,0.9742329245668359
0,16,0.9664171892231185
15,18,0.9927519820132064
13,15,0.9403180930449775
11,17,0.9670023260982403
7,12,0.9996648152761497
16,19,0.99372931186699

Timestamp  6.0, total num  26: 
 2,16,0.9997928685926502
8,14,0.9999022174417745
0,10,0.9973697503858673
7,14,0.9814947007379543
6,17,0.9407259704004165
5,12,0.9395043898927178
1,8,0.9888904782941892
3,18,0.9875857757412095
